filename,human_label
frame_003.jpg,
frame_004.jpg,
frame_005.jpg,ball
frame_006.jpg,ball
frame_007.jpg,
frame_008.jpg,
frame_009.jpg,ball
frame_010.jpg,
frame_011.jpg,
frame_012.jpg,ball
frame_013.jpg,ball
frame_014.jpg,not_ball
frame_015.jpg,
frame_016.jpg,
frame_017.jpg,ball
frame_018.jpg,
frame_019.jpg,
frame_020.jpg,not_ball
frame_021.jpg,ball
frame_022.jpg,ball
frame_023.jpg,
frame_024.jpg,
frame_025.jpg,ball
frame_026.jpg,
frame_027.jpg,ball
frame_028.jpg,ball
frame_029.jpg,
frame_030.jpg,
frame_031.jpg,ball
frame_032.jpg,not_ball
frame_033.jpg,
frame_034.jpg,ball
frame_035.jpg,not_ball
frame_036.jpg,ball
frame_037.jpg,ball
frame_038.jpg,ball
frame_039.jpg,ball
frame_040.jpg,ball
frame_041.jpg,ball
frame_042.jpg,ball
frame_043.jpg,ball
frame_044.jpg,ball
frame_045.jpg,ball
frame_046.jpg,
frame_047.jpg,
frame_048.jpg,
frame_049.jpg,
frame_050.jpg,
frame_051.jpg,ball
frame_052.jpg,ball
frame_053.jpg,
frame_054.jpg,ball
frame_055.jpg,ball
frame_056.jpg,
frame_057.jpg,
frame_058.jpg,
frame_059.jpg,
frame_060.jpg,
frame_061.jpg,
frame_062.jpg,
frame_063.jpg,
frame_064.jpg,
frame_065.jpg,
frame_066.jpg,ball
frame_067.jpg,ball
frame_068.jpg,ball
frame_069.jpg,ball
frame_070.jpg,ball
frame_071.jpg,not_ball
frame_072.jpg,ball
frame_073.jpg,ball
frame_074.jpg,ball
frame_075.jpg,ball
frame_076.jpg,ball
frame_077.jpg,ball
frame_078.jpg,
frame_079.jpg,not_ball
frame_080.jpg,
frame_081.jpg,ball
frame_082.jpg,ball
frame_083.jpg,ball
frame_084.jpg,ball
frame_085.jpg,ball
frame_086.jpg,ball
frame_087.jpg,
frame_088.jpg,
frame_089.jpg,
frame_090.jpg,ball
frame_091.jpg,
frame_092.jpg,ball
frame_093.jpg,
frame_094.jpg,
frame_095.jpg,ball
frame_096.jpg,ball
frame_097.jpg,ball
frame_098.jpg,ball
frame_099.jpg,ball
frame_100.jpg,not_ball
frame_101.jpg,ball
frame_102.jpg,
frame_103.jpg,
frame_104.jpg,
frame_105.jpg,ball
frame_106.jpg,
frame_107.jpg,ball
frame_108.jpg,ball
frame_109.jpg,ball
frame_110.jpg,
