filename,confidence,source_clip,human_label
F0223_s8.5_frame_0021.jpg,0.863,F0223_s8.5,not_ball
F0223_s8.5_frame_0026.jpg,0.863,F0223_s8.5,not_ball
F0988_s8.5_frame_0156.jpg,0.849,F0988_s8.5,not_ball
F0934_s6.5_frame_0086.jpg,0.824,F0934_s6.5,not_ball
F2303_s6.5_frame_0021.jpg,0.821,F2303_s6.5,not_ball
F2303_s6.5_frame_0026.jpg,0.821,F2303_s6.5,not_ball
F0934_s6.5_frame_0081.jpg,0.82,F0934_s6.5,not_ball
F0934_s6.5_frame_0106.jpg,0.811,F0934_s6.5,not_ball
F0223_s8.5_frame_0066.jpg,0.808,F0223_s8.5,not_ball
F0934_s6.5_frame_0101.jpg,0.802,F0934_s6.5,not_ball
F0988_s8.5_frame_0161.jpg,0.798,F0988_s8.5,not_ball
F0988_s8.5_frame_0166.jpg,0.798,F0988_s8.5,not_ball
F0223_s8.5_frame_0086.jpg,0.794,F0223_s8.5,not_ball
F2303_s6.5_frame_0126.jpg,0.779,F2303_s6.5,not_ball
F0988_s8.5_frame_0106.jpg,0.776,F0988_s8.5,not_ball
F0934_s6.5_frame_0161.jpg,0.761,F0934_s6.5,not_ball
F0934_s6.5_frame_0166.jpg,0.761,F0934_s6.5,not_ball
F2303_s6.5_frame_0111.jpg,0.76,F2303_s6.5,not_ball
F0223_s8.5_frame_0056.jpg,0.757,F0223_s8.5,not_ball
F0934_s6.5_frame_0036.jpg,0.754,F0934_s6.5,not_ball
F2701_s5.5_frame_0041.jpg,0.747,F2701_s5.5,not_ball
F0223_s8.5_frame_0116.jpg,0.744,F0223_s8.5,not_ball
F0223_s8.5_frame_0121.jpg,0.744,F0223_s8.5,not_ball
F0934_s6.5_frame_0131.jpg,0.73,F0934_s6.5,not_ball
F0988_s8.5_frame_0131.jpg,0.729,F0988_s8.5,not_ball
F0988_s8.5_frame_0101.jpg,0.698,F0988_s8.5,not_ball
F2701_s5.5_frame_0021.jpg,0.692,F2701_s5.5,not_ball
F2701_s5.5_frame_0026.jpg,0.692,F2701_s5.5,not_ball
F0934_s6.5_frame_0091.jpg,0.673,F0934_s6.5,not_ball
F0934_s6.5_frame_0096.jpg,0.673,F0934_s6.5,not_ball
F0934_s6.5_frame_0056.jpg,0.671,F0934_s6.5,not_ball
F0988_s8.5_frame_0036.jpg,0.664,F0988_s8.5,not_ball
F2701_s5.5_frame_0046.jpg,0.658,F2701_s5.5,not_ball
F2701_s5.5_frame_0051.jpg,0.658,F2701_s5.5,not_ball
F0223_s8.5_frame_0031.jpg,0.642,F0223_s8.5,not_ball
F0934_s6.5_frame_0021.jpg,0.636,F0934_s6.5,not_ball
F0934_s6.5_frame_0026.jpg,0.636,F0934_s6.5,not_ball
F0223_s8.5_frame_0061.jpg,0.615,F0223_s8.5,not_ball
F0934_s6.5_frame_0071.jpg,0.606,F0934_s6.5,not_ball
F0934_s6.5_frame_0076.jpg,0.606,F0934_s6.5,not_ball
