image_file,label_file,label_count
sample_001.jpg,sample_001.txt,1
sample_002.jpg,sample_002.txt,1
sample_003.jpg,sample_003.txt,1
sample_004.jpg,sample_004.txt,1
sample_005.jpg,sample_005.txt,1
sample_006.jpg,sample_006.txt,1
sample_007.jpg,sample_007.txt,1
sample_008.jpg,sample_008.txt,1
sample_009.jpg,sample_009.txt,1
sample_010.jpg,sample_010.txt,1
sample_011.jpg,sample_011.txt,1
sample_012.jpg,sample_012.txt,1
sample_013.jpg,sample_013.txt,1
sample_014.jpg,sample_014.txt,1
sample_015.jpg,sample_015.txt,1
sample_016.jpg,sample_016.txt,1
sample_017.jpg,sample_017.txt,1
sample_018.jpg,sample_018.txt,1
sample_019.jpg,sample_019.txt,1
sample_020.jpg,sample_020.txt,1
sample_021.jpg,sample_021.txt,1
sample_022.jpg,sample_022.txt,1
sample_023.jpg,sample_023.txt,1
sample_024.jpg,sample_024.txt,1
sample_025.jpg,sample_025.txt,1
